sample_index,frame_gpu_span_ms,path_tracer_ms,primary_rays_ms,restir_spatial_0_ms,restir_temporal_ms,dlss_evaluate_ms,cpu_frame_ms,cpu_render_ms
0,9.645056,5.340160,1.520640,1.701888,1.986560,3.939328,14.044000,12.413300
1,9.666560,5.647360,1.517568,1.699840,1.982464,3.654656,13.967500,12.293000
2,9.703424,5.329920,1.519616,1.698816,1.980416,4.004864,13.759800,11.856500
3,9.687040,5.660672,1.518592,1.701888,1.992704,3.658752,13.741900,12.071000
4,9.618432,5.321728,1.514496,1.700864,1.975296,3.930112,13.983400,12.330500
5,9.683968,5.654528,1.520640,1.697792,1.989632,3.663872,13.626200,12.002800
6,9.629696,5.660672,1.520640,1.698816,1.986560,3.599360,14.111700,12.478500
7,9.689088,5.656576,1.519616,1.694720,1.992704,3.666944,13.696000,11.708100
8,9.661440,5.343232,1.520640,1.702912,1.988608,3.954688,14.121900,12.097700
9,9.800704,5.737472,1.598464,1.699840,1.988608,3.699712,13.441000,11.594600
10,9.629696,5.331968,1.515520,1.700864,1.984512,3.933184,14.078600,12.412200
11,9.698304,5.653504,1.518592,1.693696,1.990656,3.674112,13.745100,12.086900
12,9.636864,5.336064,1.520640,1.693696,1.988608,3.931136,14.003500,12.356200
13,9.698304,5.664768,1.526784,1.704960,1.985536,3.664896,13.708600,12.135400
14,9.636864,5.336064,1.520640,1.699840,1.983488,3.936256,14.006200,12.235100
15,9.667584,5.635072,1.516544,1.703936,1.968128,3.664896,13.997400,12.310100
16,9.648128,5.343232,1.519616,1.695744,1.996800,3.937280,13.552200,11.916700
17,9.688064,5.654528,1.526784,1.699840,1.982464,3.663872,13.810800,11.752300
18,9.654272,5.343232,1.518592,1.708032,1.986560,3.945472,13.885300,12.178600
19,9.677824,5.659648,1.520640,1.698816,1.992704,3.651584,13.903500,12.284600
20,9.640960,5.331968,1.524736,1.692672,1.982464,3.944448,13.746600,12.034600
21,9.663488,5.637120,1.520640,1.694720,1.977344,3.659776,13.856400,12.195700
22,9.641984,5.339136,1.521664,1.697792,1.988608,3.936256,13.769800,12.042100
23,9.661440,5.627904,1.513472,1.691648,1.980416,3.661824,13.902200,12.293600
24,9.628672,5.325824,1.516544,1.696768,1.981440,3.939328,14.075300,12.300800
25,9.680896,5.655552,1.528832,2.011136,1.981440,3.663872,13.665400,11.680600
26,9.625600,5.321728,1.519616,1.692672,1.976320,3.939328,13.969100,12.225600
27,9.671680,5.647360,1.518592,1.699840,1.979392,3.657728,14.080800,12.366700
28,9.728000,5.329920,1.522688,1.694720,1.981440,4.031488,13.456200,11.793300
29,9.660416,5.317632,1.516544,1.694720,1.972224,3.659776,14.016200,12.288500
30,9.650176,5.343232,1.520640,1.704960,1.985536,3.943424,13.699600,11.896000
31,9.664512,5.639168,1.517568,1.695744,1.977344,3.660800,13.834500,12.128400
32,9.651200,5.334016,1.519616,1.696768,1.984512,3.951616,14.073300,12.448000
33,9.660416,5.634048,1.518592,1.701888,1.968128,3.659776,13.988500,12.190000
34,9.644032,5.343232,1.521664,1.693696,1.993728,3.937280,13.631200,11.849900
35,9.700352,5.660672,1.527808,1.694720,1.989632,3.673088,14.050100,12.176000
36,9.661440,5.344256,1.524736,1.695744,1.992704,3.951616,13.741700,11.419600
37,9.637888,5.332992,1.521664,1.693696,1.984512,3.625984,13.956900,11.717700
38,9.703424,5.331968,1.518592,1.699840,1.980416,4.007936,13.863400,11.964300
39,9.810944,5.642240,1.520640,1.698816,1.976320,3.801088,14.100800,11.891300
40,9.665536,5.392384,1.523712,1.719296,2.018304,3.906560,14.248200,12.519900
41,9.680896,5.681152,1.525760,1.697792,2.007040,3.632128,13.897700,10.359300
42,9.692160,5.321728,1.518592,1.696768,1.975296,4.002816,13.110600,9.520900
43,9.696256,5.666816,1.528832,1.696768,1.994752,3.661824,13.601600,11.749800
44,9.640960,5.337088,1.526784,1.697792,1.980416,3.939328,13.836600,11.804300
45,9.675776,5.655552,1.522688,1.705984,1.978368,3.653632,13.852800,12.210100
46,9.670656,5.366784,1.518592,1.702912,2.012160,3.938304,13.958100,12.165200
47,9.694208,5.665792,1.517568,1.699840,1.998848,3.661824,13.602900,11.693600
48,9.607168,5.330944,1.524736,1.699840,1.974272,3.908608,14.274700,12.558500
49,9.674752,5.654528,1.522688,1.700864,1.980416,3.653632,13.339500,11.413400
50,9.601024,5.336064,1.524736,1.700864,1.978368,3.899392,14.007100,11.709400
51,9.705472,5.331968,1.525760,1.698816,1.974272,4.007936,13.759800,12.025400
52,9.660416,5.345280,1.522688,1.687552,2.000896,3.947520,13.879100,11.515700
53,9.708544,5.686272,1.530880,1.702912,2.002944,3.657728,13.684600,11.800800
54,9.610240,5.348352,1.525760,1.702912,1.988608,3.897344,14.154700,12.447500
55,9.734144,5.336064,1.530880,1.699840,1.973248,4.034560,13.608900,11.921700
56,9.611264,5.343232,1.520640,1.701888,1.986560,3.902464,13.920400,12.085000
57,9.746432,5.338112,1.525760,1.695744,1.984512,4.045824,13.706800,12.050600
58,9.633792,5.362688,1.524736,1.692672,2.012160,3.905536,14.032400,12.369800
59,9.702400,5.341184,1.523712,1.688576,1.996800,3.661824,13.741900,12.042300
60,9.649152,5.338112,1.524736,1.696768,1.985536,3.944448,14.025800,12.341300
61,9.672704,5.653504,1.530880,1.696768,1.974272,3.651584,13.816700,12.141900
62,9.654272,5.341184,1.522688,1.700864,1.986560,3.946496,14.091900,12.399200
63,9.854976,5.489664,1.522688,1.845248,1.989632,3.663872,13.525000,11.825200
64,9.625536,5.356544,1.526784,1.701888,1.995776,3.901440,13.995700,12.390600
65,9.708544,5.686272,1.528832,1.696768,2.009088,3.657728,13.650400,11.985900
66,9.581568,5.315584,1.518592,1.687552,1.975296,3.902464,14.010300,12.329100
67,9.764864,5.741568,1.609728,1.697792,1.987584,3.658752,13.973300,12.098200
68,9.722880,5.415936,1.604608,1.697792,1.979392,3.939328,13.726300,12.015700
69,9.679872,5.652480,1.525760,1.701888,1.976320,3.659776,13.956600,12.381700
70,9.674752,5.368832,1.520640,1.978368,1.736704,3.940352,13.811400,12.270400
71,9.698304,5.670912,1.527808,1.696768,1.997824,3.659776,13.590700,12.027900
72,9.629696,5.337088,1.525760,1.700864,1.977344,3.929088,14.152000,12.397200
73,9.669632,5.649408,1.525760,1.698816,1.977344,3.653632,13.689200,12.076400
74,9.645056,5.352448,1.522688,1.949696,1.747968,3.930112,13.951400,12.253300
75,9.674752,5.657600,1.522688,1.953792,1.730560,3.654656,13.886000,12.356800
76,9.659392,5.355520,1.525760,1.690624,2.006016,3.937280,13.827000,12.214100
77,9.720832,5.688320,1.522688,1.980416,1.739776,3.662848,13.786200,12.135600
78,9.634816,5.334016,1.522688,1.697792,1.982464,3.934208,13.899400,12.143900
79,9.668608,5.652480,1.525760,1.948672,1.729536,3.649536,13.745700,12.026800
80,9.656320,5.344256,1.527808,1.700864,1.983488,3.947520,13.931200,12.287500
81,9.683968,5.658624,1.525760,1.949696,1.728512,3.659776,13.890200,12.115500
82,9.669632,5.371904,1.523712,1.980416,1.735680,3.931136,13.756400,11.862900
83,9.693184,5.668864,1.518592,1.976320,1.724416,3.658752,13.824400,11.875900
84,9.634816,5.331968,1.524736,1.945600,1.728512,3.934208,13.937300,12.202400
85,9.682944,5.662720,1.522688,1.949696,1.739776,3.652608,13.821400,12.140800
86,9.652224,5.343232,1.529856,1.948672,1.730560,3.946496,13.966400,12.394600
87,9.678848,5.658624,1.529856,1.948672,1.730560,3.656704,13.771300,12.206700
88,9.678848,5.369856,1.525760,1.977344,1.732608,3.943424,13.833300,12.046700
89,9.714688,5.692416,1.528832,1.981440,1.732608,3.656704,13.736900,11.899800
90,9.645056,5.344256,1.525760,1.956864,1.728512,3.937280,13.887500,12.208000
91,9.680896,5.659648,1.525760,1.947648,1.734656,3.656704,14.100500,12.360300
92,9.659392,5.346304,1.525760,1.948672,1.739776,3.948544,13.720100,12.076800
93,9.675776,5.649408,1.525760,1.954816,1.719296,3.658752,13.702300,12.001600
94,9.658368,5.385216,1.530880,1.979392,1.742848,3.906560,13.973500,12.202900
95,9.705472,5.682176,1.524736,1.978368,1.729536,3.659776,13.626000,11.923100
96,9.589760,5.328896,1.525760,1.951744,1.719296,3.894272,14.236900,12.526700
97,9.678848,5.657600,1.530880,1.692672,1.985536,3.653632,13.501500,11.841600
98,9.644032,5.344256,1.532928,1.951744,1.725440,3.936256,13.895800,12.194800
99,9.687008,5.661696,1.534976,1.945600,1.731584,3.659776,13.954100,12.416900
100,9.641984,5.343232,1.525760,1.969152,1.715200,3.928064,13.879300,12.317200
101,9.687040,5.669888,1.516544,1.986560,1.719296,3.650560,13.676500,11.826900
102,9.631744,5.324800,1.523712,1.948672,1.720320,3.939328,13.906200,12.318000
103,9.679872,5.657600,1.529856,1.952768,1.727488,3.658752,14.055800,12.450900
104,9.656320,5.361664,1.530880,1.954816,1.742848,3.929088,13.799700,11.973400
105,9.679872,5.649408,1.529856,1.942528,1.728512,3.661824,13.531900,11.718000
106,9.593856,5.322752,1.521664,1.944576,1.723392,3.906560,14.248100,12.494500
107,9.679872,5.656576,1.531904,1.951744,1.723392,3.660800,13.968100,12.269400
108,9.637888,5.337088,1.529856,1.694720,1.980416,3.934208,13.474200,11.885800
109,9.675776,5.651456,1.530880,1.947648,1.722368,3.656704,14.096800,12.463300
110,9.644032,5.339136,1.526784,1.948672,1.729536,3.940352,13.710700,12.103700
111,9.687040,5.660672,1.526784,1.951744,1.736704,3.659776,13.726300,12.000700
112,9.591808,5.325824,1.522688,1.948672,1.722368,3.898368,14.201100,12.399600
113,9.729024,5.334016,1.525760,1.944576,1.730560,4.031488,13.732100,12.188800
114,9.777152,5.329920,1.522688,1.949696,1.725440,4.079616,13.950300,12.377200
115,9.750496,5.654528,1.526784,1.944576,1.734656,3.729408,13.719300,12.055500
116,9.638912,5.340160,1.532928,1.946624,1.728512,3.935232,13.871700,12.195300
117,9.731072,5.332992,1.525760,1.953792,1.720320,4.033536,13.589200,11.896300
118,9.650176,5.350400,1.525760,1.956864,1.734656,3.936256,13.898000,12.200300
119,9.663488,5.644288,1.526784,1.953792,1.715200,3.654656,14.124400,12.410200
120,9.592832,5.327872,1.520640,1.949696,1.725440,3.898368,13.804700,12.044800
121,9.733120,5.335040,1.529856,1.951744,1.720320,4.034560,13.708600,12.022000
122,9.589760,5.338112,1.525760,1.952768,1.726464,3.884032,13.910400,12.319300
123,9.679872,5.655552,1.529856,1.951744,1.726464,3.658752,13.767700,12.147300
124,9.628672,5.328896,1.528832,1.947648,1.719296,3.932160,14.007100,12.278600
125,9.819136,5.498880,1.527808,2.109440,1.726464,3.625984,13.780300,12.188800
126,9.751552,5.346304,1.532928,1.945600,1.734656,4.037632,13.896300,12.147500
127,9.649152,5.662720,1.526784,1.942528,1.739776,3.619840,13.610500,12.099900
128,9.624576,5.329920,1.523712,1.948672,1.724416,3.929088,14.104300,12.469900
129,9.665536,5.644288,1.523712,1.943552,1.729536,3.654656,13.626100,11.861100
130,9.577472,5.322752,1.525760,1.949696,1.715200,3.889152,14.040600,12.173200
131,9.732096,5.346304,1.520640,1.950720,1.742848,4.016128,13.734800,11.927200
132,9.586688,5.326848,1.522688,1.949696,1.721344,3.892224,14.090100,12.419100
133,9.798656,5.340160,1.520640,1.949696,1.737728,4.093952,13.624900,11.895300
134,9.603072,5.343232,1.534976,1.945600,1.729536,3.894272,14.056800,12.387900
135,9.670656,5.645312,1.528832,1.949696,1.719296,3.658752,13.702100,12.067300
136,9.602048,5.343232,1.522688,1.956864,1.730560,3.898368,14.096000,12.480400
